feature,mean_abs_shap
Latent_3,0.1625603872521843
Latent_0,0.11271963818587548
Latent_7,0.09066258763625595
Latent_6,0.05421863617819136
Latent_1,0.05086225567077419
Latent_4,0.04375583536634225
Latent_5,0.018331539654826548
Latent_2,0.015843299163061916
Latent_8,0.009275790505430419
Latent_9,0.008831411136620592
Latent_7,0.08003147592665295
Latent_6,0.052027571359429085
Latent_9,0.04905468053610966
Latent_1,0.03977705586870895
Latent_3,0.039078996501826786
Latent_4,0.03902164222461099
Latent_0,0.03766733002469365
Latent_2,0.02636557891099454
Latent_8,0.023467478198297215
Latent_5,0.012737408240800645
Latent_7,0.16714237783497585
Latent_3,0.14204610781212323
Latent_0,0.14117394769332214
Latent_9,0.05537719642521839
Latent_6,0.024545283020516798
Latent_5,0.019027529681998265
Latent_1,0.01770203072299258
Latent_4,0.015458418182196681
Latent_8,0.014729586620368629
Latent_2,0.012947163854522336
