feature,mean_abs_shap
Latent_3,0.18397822222222213
Latent_7,0.08528955555555555
Latent_0,0.08291466666666658
Latent_4,0.05341877777777776
Latent_6,0.0495271746031746
Latent_1,0.048519079365079376
Latent_5,0.0322692857142857
Latent_9,0.020635079365079356
Latent_2,0.011276841269841248
Latent_8,0.00656550793650794
Latent_7,0.05804787301587301
Latent_6,0.05710674603174603
Latent_4,0.046987031746031756
Latent_9,0.03804125396825398
Latent_3,0.035486412698412705
Latent_0,0.030486111111111117
Latent_1,0.024140984126984132
Latent_2,0.018915873015873018
Latent_8,0.01829077777777778
Latent_5,0.015561952380952378
Latent_3,0.1613745079365079
Latent_7,0.14235095238095238
Latent_0,0.10777223809523793
Latent_9,0.053470047619047605
Latent_5,0.03134673015873014
Latent_1,0.028479746031746064
Latent_6,0.024932079365079355
Latent_4,0.024478095238095222
Latent_8,0.019600349206349205
Latent_2,0.012087412698412727
