feature,mean_abs_shap
Latent_3,0.1572120944444444
Latent_0,0.10867412460317456
Latent_7,0.09256072142857143
Latent_6,0.05388106428571431
Latent_1,0.0535849198412698
Latent_4,0.04256140476190476
Latent_9,0.015608290476190462
Latent_5,0.012971085714285712
Latent_2,0.006284842857142847
Latent_8,0.00412430079365079
Latent_7,0.0598659698412698
Latent_6,0.05349980476190474
Latent_0,0.03460748968253969
Latent_1,0.033599550793650776
Latent_9,0.032397331746031745
Latent_3,0.03129359682539682
Latent_4,0.030088320634920618
Latent_8,0.01224775714285714
Latent_2,0.0098746357142857
Latent_5,0.006345252380952383
Latent_7,0.15160289126984128
Latent_0,0.14131087936507952
Latent_3,0.13854470079365075
Latent_9,0.04506263015873015
Latent_1,0.021832367460317425
Latent_6,0.019126919841269838
Latent_4,0.01875403015873015
Latent_5,0.012834379365079373
Latent_8,0.010501707142857133
Latent_2,0.0053075880952380946
